Color,Height,Material,Type,Extra_Features
Brown,low,brick,Residential building / Apartment,"gray vertical columns, dragon sinage"
Black and Gray,low,brick,Residential building / Apartment,"ornate stone detailing at the base, uniform glass facade"
Light Gray - with brown accents,medium,brick,Residential building / Apartment,"dark brown vertical columns, broken glass windows"
Dark brown and black,medium,brick and metal,Residential building / Apartment,"broken glass windows, three entrances"
Red - brown and black,low,brick and metal,Shop,"broken glass windows, weathered signage, red awnings"
Gray and red - brown,medium,brick,Residential / Commercial Building,"Red - brick base with dark storefronts, weathered signage, green broken awnings"
A beige lower floor with a red - brown upper floor,high,brick and glass,Office Building / Commercial Building,"large glass windows at the base, multiple wall-mounted outdoor lights"
Off-white and gray,high,stone,Office Building / Commercial Building,"ornate stone carvings, tall vertical windows, grand arched entrance"
Light gray at lower floors and dark gray at upper floors,high,glass and stone,Office Building / Commercial Building,"ornate stone detailing on lower floors, grand arched entrance, Vertical stone columnss"
Dark black,high,glass,Skyscraper,"All - glass facade with a grid pattern, Single rectangular entrance"
Pinkish - brown,medium,brick,Apartment,"ornate brick detailing, gold - colored double entrance doors, tall vertical windows"
Red - brown and gray,medium,brick and stone,Apartment,"ornate stone detailing at base, Red - brick facade with bay windows, gold - colored entrance doors, Gray stone accents on the lower floors"
Light gray at lower floors and dark gray at upper floors,high,glass and stone,Office Building / Commercial Building,"Ornate light - gray stone detailing on the lower floors, large glass windows, gold - framed entrance doors"
Red - brown and gray,high,brick and stone,Apartment,"arched stone entrance, bay windows, ornate stone detailing"
Gray and white,high,brick and concrete,Skyscraper,"Checkered facade design, Vertical lines of windows, A white horizontal canopy extends from the building facades"
Light gray,high,concrete,Skyscraper,"Glass canopy over the entrance, A rhythmic pattern of outward projections"
Gray,high,stone,Office Building / Commercial Building,"Vertical stone columns on the facade, Ornate arched doorways with gold detailing, Small rectangular windows above the arches"
White - gray,high,stone,Bell Tower,"Ornate arched windows with decorative stonework, Gold - colored doors at the ground level"
White-Gray,medium,stone,Office Building / Commercial Building,"gold - colored double doors at the entrance, rectangular windows with dark frames"
Light gray,high,stone,Bell Tower,"Large arched entrance at the ground level, Vertical stone columns on the facade"
Dark blue - black,high,glass,Office Building / Commercial Building,"All - glass facade with a grid pattern, Single rectangular entrance, Reflective glass surface showing sky and surroundings"
Gray,low,concrete,Office Building / Commercial Building,"rectangular windows with dark frames, A regular pattern of vertical dark glass windows is framed by light beige stone. "
